time,court,status,reservation_link,court_id,date
6:00 a.m.,Court 9,Not available,,3,2025-08-16
7:00 a.m.,Court 10,Not available,,3,2025-08-16
7:00 a.m.,Court 9,Not available,,3,2025-08-16
8:00 a.m.,Court 10,Not available,,3,2025-08-16
8:00 a.m.,Court 9,Not available,,3,2025-08-16
9:00 a.m.,Court 10,Not available,,3,2025-08-16
9:00 a.m.,Court 9,Not available,,3,2025-08-16
10:00 a.m.,Court 10,Not available,,3,2025-08-16
10:00 a.m.,Court 9,Not available,,3,2025-08-16
11:00 a.m.,Court 10,Not available,,3,2025-08-16
11:00 a.m.,Court 9,Not available,,3,2025-08-16
12:00 p.m.,Court 10,Not available,,3,2025-08-16
12:00 p.m.,Court 9,Not available,,3,2025-08-16
1:00 p.m.,Court 10,Not available,,3,2025-08-16
1:00 p.m.,Court 9,Not available,,3,2025-08-16
2:00 p.m.,Court 10,Not available,,3,2025-08-16
2:00 p.m.,Court 9,Not available,,3,2025-08-16
3:00 p.m.,Court 10,Not available,,3,2025-08-16
3:00 p.m.,Court 9,Not available,,3,2025-08-16
4:00 p.m.,Court 10,Not available,,3,2025-08-16
4:00 p.m.,Court 9,Not available,,3,2025-08-16
5:00 p.m.,Court 10,Not available,,3,2025-08-16
5:00 p.m.,Court 9,Not available,,3,2025-08-16
6:00 p.m.,Court 10,Not available,,3,2025-08-16
6:00 p.m.,Court 9,Not available,,3,2025-08-16
7:00 p.m.,Court 10,Not available,,3,2025-08-16
7:00 p.m.,Court 9,Not available,,3,2025-08-16
8:00 p.m.,Court 10,Not available,,3,2025-08-16
8:00 p.m.,Court 9,Not available,,3,2025-08-16
9:00 p.m.,Court 10,Not available,,3,2025-08-16
9:00 p.m.,Court 9,Not available,,3,2025-08-16
10:00 p.m.,Court 10,Not available,,3,2025-08-16
10:00 p.m.,Court 9,Not available,,3,2025-08-16
6:00 a.m.,Court 10,Not available,,3,2025-08-17
6:00 a.m.,Court 9,Not available,,3,2025-08-17
7:00 a.m.,Court 10,Not available,,3,2025-08-17
7:00 a.m.,Court 9,Not available,,3,2025-08-17
8:00 a.m.,Court 10,Not available,,3,2025-08-17
8:00 a.m.,Court 9,Not available,,3,2025-08-17
9:00 a.m.,Court 10,Not available,,3,2025-08-17
9:00 a.m.,Court 9,Not available,,3,2025-08-17
10:00 a.m.,Court 10,Not available,,3,2025-08-17
10:00 a.m.,Court 9,Not available,,3,2025-08-17
11:00 a.m.,Court 10,Not available,,3,2025-08-17
