court_id,date,time,court,status,reservation_link,is_available
3,2025-08-01,2:00 p.m.,Court 9,Not Available,,False
3,2025-08-01,3:00 p.m.,Court 10,Booked,,False
3,2025-08-01,3:00 p.m.,Court 9,Booked,,False
3,2025-08-01,4:00 p.m.,Court 10,Booked,,False
3,2025-08-01,4:00 p.m.,Court 9,Booked,,False
3,2025-08-01,5:00 p.m.,Court 10,Booked,,False
3,2025-08-01,5:00 p.m.,Court 9,Booked,,False
3,2025-08-01,6:00 p.m.,Court 10,Booked,,False
3,2025-08-01,6:00 p.m.,Court 9,Booked,,False
3,2025-08-01,7:00 p.m.,Court 10,Booked,,False
3,2025-08-01,7:00 p.m.,Court 9,Booked,,False
3,2025-08-01,8:00 p.m.,Court 10,Not Available,,False
3,2025-08-01,8:00 p.m.,Court 9,Not Available,,False
3,2025-08-01,9:00 p.m.,Court 10,Not Available,,False
3,2025-08-01,9:00 p.m.,Court 9,Not Available,,False
3,2025-08-01,10:00 p.m.,Court 10,Not Available,,False
3,2025-08-01,10:00 p.m.,Court 9,Not Available,,False
3,2025-08-02,6:00 a.m.,Court 10,Not Available,,False
3,2025-08-02,6:00 a.m.,Court 9,Not Available,,False
3,2025-08-02,7:00 a.m.,Court 10,Booked,,False
3,2025-08-02,7:00 a.m.,Court 9,Booked,,False
3,2025-08-02,8:00 a.m.,Court 10,Booked,,False
3,2025-08-02,8:00 a.m.,Court 9,Booked,,False
3,2025-08-02,9:00 a.m.,Court 10,Booked,,False
3,2025-08-02,9:00 a.m.,Court 9,Booked,,False
3,2025-08-02,10:00 a.m.,Court 10,Booked,,False
3,2025-08-02,10:00 a.m.,Court 9,Booked,,False
3,2025-08-02,11:00 a.m.,Court 10,Booked,,False
3,2025-08-02,11:00 a.m.,Court 9,Booked,,False
3,2025-08-02,12:00 p.m.,Court 10,Booked,,False
3,2025-08-02,12:00 p.m.,Court 9,Booked,,False
3,2025-08-02,1:00 p.m.,Court 10,Booked,,False
3,2025-08-02,1:00 p.m.,Court 9,Booked,,False
3,2025-08-02,2:00 p.m.,Court 10,Booked,,False
3,2025-08-02,2:00 p.m.,Court 9,Booked,,False
3,2025-08-02,3:00 p.m.,Court 10,Booked,,False
3,2025-08-02,3:00 p.m.,Court 9,Booked,,False
3,2025-08-02,4:00 p.m.,Court 10,Booked,,False
3,2025-08-02,4:00 p.m.,Court 9,Booked,,False
3,2025-08-02,5:00 p.m.,Court 10,Booked,,False
3,2025-08-02,5:00 p.m.,Court 9,Booked,,False
3,2025-08-02,6:00 p.m.,Court 10,Booked,,False
3,2025-08-02,6:00 p.m.,Court 9,Booked,,False
3,2025-08-02,7:00 p.m.,Court 10,Booked,,False
3,2025-08-02,7:00 p.m.,Court 9,Booked,,False
3,2025-08-02,8:00 p.m.,Court 10,Not Available,,False
3,2025-08-02,8:00 p.m.,Court 9,Not Available,,False
3,2025-08-02,9:00 p.m.,Court 10,Not Available,,False
3,2025-08-02,9:00 p.m.,Court 9,Not Available,,False
3,2025-08-02,10:00 p.m.,Court 10,Not Available,,False
3,2025-08-02,10:00 p.m.,Court 9,Not Available,,False
3,2025-08-03,6:00 a.m.,Court 10,Not Available,,False
3,2025-08-03,6:00 a.m.,Court 9,Not Available,,False
3,2025-08-03,7:00 a.m.,Court 10,Booked,,False
3,2025-08-03,7:00 a.m.,Court 9,Booked,,False
3,2025-08-03,8:00 a.m.,Court 10,Booked,,False
3,2025-08-03,8:00 a.m.,Court 9,Booked,,False
3,2025-08-03,9:00 a.m.,Court 10,Booked,,False
3,2025-08-03,9:00 a.m.,Court 9,Booked,,False
3,2025-08-03,10:00 a.m.,Court 10,Booked,,False
3,2025-08-03,10:00 a.m.,Court 9,Booked,,False
3,2025-08-03,11:00 a.m.,Court 10,Booked,,False
3,2025-08-03,11:00 a.m.,Court 9,Booked,,False
3,2025-08-03,12:00 p.m.,Court 10,Booked,,False
3,2025-08-03,12:00 p.m.,Court 9,Booked,,False
3,2025-08-03,1:00 p.m.,Court 10,Booked,,False
3,2025-08-03,1:00 p.m.,Court 9,Booked,,False
3,2025-08-03,2:00 p.m.,Court 10,Booked,,False
3,2025-08-03,2:00 p.m.,Court 9,Booked,,False
3,2025-08-03,3:00 p.m.,Court 10,Booked,,False
3,2025-08-03,3:00 p.m.,Court 9,Booked,,False
3,2025-08-03,4:00 p.m.,Court 10,Booked,,False
3,2025-08-03,4:00 p.m.,Court 9,Booked,,False
3,2025-08-03,5:00 p.m.,Court 10,Booked,,False
3,2025-08-03,5:00 p.m.,Court 9,Booked,,False
3,2025-08-03,6:00 p.m.,Court 10,Booked,,False
3,2025-08-03,6:00 p.m.,Court 9,Booked,,False
3,2025-08-03,7:00 p.m.,Court 10,Booked,,False
3,2025-08-03,7:00 p.m.,Court 9,Booked,,False
3,2025-08-03,8:00 p.m.,Court 10,Not Available,,False
3,2025-08-03,8:00 p.m.,Court 9,Not Available,,False
3,2025-08-03,9:00 p.m.,Court 10,Not Available,,False
3,2025-08-03,9:00 p.m.,Court 9,Not Available,,False
3,2025-08-03,10:00 p.m.,Court 10,Not Available,,False
3,2025-08-03,10:00 p.m.,Court 9,Not Available,,False
